year,bhk,furnished_type,property_age,aqi,urban_sprawl_index,flood_percentage,rainfall_mm,night_life_score,price_inr
2020,2,Semi-Furnished,16,170,0.26,0.56,1692.3,3,412000
2022,4,Unfurnished,10,224,0.53,0.56,1194.5,9,895000
2023,2,Semi-Furnished,22,183,0.57,0.36,1726.9,7,600000
2023,3,Furnished,1,231,0.82,0.45,1719.5,7,968500
2019,3,Semi-Furnished,3,234,0.4,0.51,1157.3,4,624500
2021,2,Unfurnished,11,215,0.45,0.23,1317.4,1,350500
2019,3,Furnished,1,141,0.21,0.35,1941.2,8,912500
2023,3,Furnished,0,108,0.92,0.11,1071.1,9,1197500
2022,3,Semi-Furnished,22,162,0.75,0.59,1228.9,4,714500
2018,2,Semi-Furnished,5,153,0.41,0.56,1578.8,1,399000
2018,2,Furnished,15,231,0.91,0.29,1968.7,9,621500
2022,2,Unfurnished,1,113,0.27,0.33,1257.1,5,579500
2023,3,Furnished,13,139,0.49,0.26,1816.8,6,976000
2024,3,Furnished,19,183,0.65,0.0,1367.4,2,907000
2018,2,Furnished,11,238,0.6,0.14,1352.5,5,546000
2024,4,Unfurnished,18,194,0.72,0.06,1996.1,1,879000
2018,1,Furnished,2,211,0.44,0.19,1817.2,3,354500
2018,3,Semi-Furnished,18,216,0.81,0.14,1248.5,1,574000
2021,4,Semi-Furnished,10,169,0.52,0.46,1185.7,1,874000
2021,3,Furnished,3,156,0.3,0.3,1084.1,9,984000
2020,3,Unfurnished,16,200,0.79,0.49,1482.7,6,605500
2019,2,Unfurnished,16,80,0.93,0.38,1334.5,8,566000
2022,2,Furnished,6,152,0.49,0.39,1380.8,5,728500
2022,3,Furnished,4,238,0.67,0.53,1431.4,9,929500
2022,2,Furnished,18,167,0.75,0.51,1991.0,4,641500
2020,1,Unfurnished,24,124,0.87,0.04,1002.9,8,357000
2021,3,Semi-Furnished,20,139,0.36,0.35,1426.1,6,754500
2023,2,Unfurnished,18,165,0.66,0.25,1065.0,5,523500
2024,4,Semi-Furnished,8,182,0.79,0.36,1673.0,5,1083000
2024,3,Unfurnished,16,166,0.36,0.52,1050.4,3,652000
2023,3,Semi-Furnished,8,198,0.58,0.01,1766.8,4,848500
2020,3,Semi-Furnished,13,121,0.57,0.01,1867.8,5,829500
2023,3,Furnished,4,234,0.87,0.04,1970.8,9,1057000
2022,3,Semi-Furnished,21,160,0.82,0.52,1120.9,3,719000
2019,3,Semi-Furnished,1,241,0.39,0.21,1978.9,5,691500
2018,2,Unfurnished,23,89,0.39,0.22,1412.3,9,482000
2024,3,Semi-Furnished,14,202,0.78,0.21,1632.6,1,774500
2021,3,Semi-Furnished,15,190,0.79,0.14,1000.0,5,783000
2021,2,Unfurnished,18,104,0.34,0.02,1370.3,4,507000
2020,1,Semi-Furnished,0,82,0.53,0.54,1352.9,1,370000
2021,3,Furnished,22,241,0.86,0.14,1503.8,1,724000
2022,1,Unfurnished,11,150,0.26,0.54,1132.6,7,300000
2024,4,Unfurnished,18,107,0.5,0.57,1690.2,6,967500
2023,4,Semi-Furnished,19,216,0.72,0.35,1595.7,1,878500
2022,1,Furnished,14,90,0.82,0.22,1212.5,4,589000
2020,3,Unfurnished,4,172,0.72,0.46,1983.6,7,711000
2022,1,Furnished,0,197,0.52,0.02,1005.6,6,592000
2023,3,Furnished,10,203,0.99,0.56,1335.9,2,852000
2019,2,Unfurnished,8,246,0.23,0.24,1261.7,9,411000
2020,3,Unfurnished,6,172,0.6,0.19,1560.0,3,649500
2019,2,Semi-Furnished,1,220,0.61,0.08,1888.4,2,494000
2018,1,Furnished,16,178,0.39,0.57,1657.8,1,300000
2019,2,Semi-Furnished,15,90,0.65,0.49,1047.6,3,516500
2018,1,Semi-Furnished,15,114,0.38,0.43,1863.4,6,304500
2018,2,Unfurnished,13,87,0.55,0.56,1265.1,1,339000
2019,1,Semi-Furnished,1,86,0.55,0.58,1110.3,2,347000
2020,2,Semi-Furnished,18,148,0.82,0.16,1432.6,9,660000
2023,3,Unfurnished,2,149,0.95,0.47,1898.7,1,735500
2022,3,Semi-Furnished,7,194,0.36,0.46,1034.6,1,678000
2022,3,Unfurnished,20,203,0.99,0.33,1625.7,9,746500
2023,4,Semi-Furnished,24,242,0.95,0.09,1332.5,3,929500
2024,1,Unfurnished,18,90,0.29,0.56,1622.6,6,365000
2024,1,Unfurnished,15,245,0.93,0.19,1266.3,3,300000
2018,2,Furnished,21,170,0.65,0.35,1967.1,2,477500
2018,3,Unfurnished,3,164,0.9,0.01,1113.8,3,669500
2020,4,Semi-Furnished,7,128,0.96,0.26,1158.0,4,1034000
2021,1,Unfurnished,0,114,0.89,0.37,1045.7,1,329500
2019,2,Unfurnished,3,236,0.52,0.23,1795.0,3,356500
2018,2,Unfurnished,6,167,0.71,0.29,1094.0,7,470500
2022,3,Unfurnished,24,248,0.57,0.12,1276.6,2,531000
2020,3,Unfurnished,0,188,0.49,0.21,1205.6,7,729500
2019,1,Furnished,23,213,0.4,0.43,1353.5,4,300000
2020,2,Unfurnished,17,89,0.55,0.58,1765.8,7,494000
2019,3,Unfurnished,3,163,0.84,0.28,1950.2,3,654000
2019,3,Furnished,19,164,0.88,0.41,1878.9,7,837500
2023,1,Unfurnished,13,230,0.97,0.59,1841.2,7,303500
2018,3,Semi-Furnished,7,219,0.43,0.46,1417.5,3,580000
2020,2,Unfurnished,17,134,0.72,0.01,1801.8,6,531500
2020,3,Unfurnished,6,220,0.76,0.56,1777.2,9,682000
2023,3,Semi-Furnished,2,153,0.35,0.52,1247.5,7,884000
2022,1,Furnished,24,214,0.49,0.16,1262.4,5,411000
2022,1,Unfurnished,20,219,0.47,0.11,1499.0,1,300000
2024,3,Semi-Furnished,13,140,0.99,0.54,1963.5,8,953000
2018,1,Unfurnished,11,232,0.97,0.41,1107.9,4,300000
2018,3,Unfurnished,14,209,0.86,0.14,1988.4,2,526000
2021,3,Furnished,7,105,0.58,0.43,1158.9,9,1023500
2023,3,Unfurnished,4,148,0.41,0.36,1485.6,3,729000
2022,2,Furnished,16,141,0.93,0.19,1304.0,6,783500
2019,2,Unfurnished,24,246,0.41,0.33,1419.8,3,300000
2020,3,Furnished,9,195,0.62,0.32,1957.8,7,874000
2018,1,Semi-Furnished,10,194,0.4,0.31,1631.8,2,300000
2020,3,Furnished,22,218,0.98,0.31,1297.5,4,763500
2020,3,Unfurnished,15,181,0.23,0.0,1628.4,9,707000
2021,2,Semi-Furnished,15,121,0.34,0.16,1452.2,8,664000
2022,3,Semi-Furnished,3,89,0.81,0.26,1943.4,8,1018000
2018,1,Semi-Furnished,22,202,0.32,0.08,1352.8,8,300000
2020,2,Furnished,4,98,0.98,0.45,1584.5,7,812500
2018,4,Semi-Furnished,9,83,0.46,0.51,1849.4,6,961500
2019,4,Furnished,13,82,0.93,0.49,1958.8,8,1162500
2021,2,Unfurnished,8,221,0.73,0.28,1799.2,7,500000
2019,4,Semi-Furnished,17,89,0.71,0.41,1935.5,1,885500
2018,2,Furnished,19,85,0.93,0.05,1463.8,6,725500
2024,2,Unfurnished,5,110,0.61,0.12,1764.5,8,748000
2018,2,Semi-Furnished,10,110,0.52,0.03,1094.6,5,587500
2022,4,Furnished,20,88,0.37,0.58,1593.8,6,1102000
2020,1,Semi-Furnished,16,187,0.32,0.34,1013.5,2,300000
2020,2,Unfurnished,8,203,0.83,0.11,1260.0,2,423500
2019,2,Unfurnished,24,233,0.3,0.42,1665.6,2,300000
2021,3,Furnished,2,209,0.52,0.29,1171.6,6,899500
2024,2,Furnished,15,83,0.53,0.26,1200.1,5,836000
2023,2,Furnished,19,85,0.73,0.55,1061.7,6,780500
2020,1,Semi-Furnished,3,109,0.42,0.42,1747.4,6,435000
2022,3,Semi-Furnished,23,235,0.87,0.41,1447.9,4,675500
2019,3,Unfurnished,21,140,0.37,0.06,1887.9,7,653000
2019,2,Unfurnished,14,156,0.83,0.06,1362.3,9,558000
2023,3,Unfurnished,1,189,0.88,0.4,1435.3,7,824000
2022,1,Unfurnished,19,115,0.35,0.09,1494.9,6,351500
2021,3,Furnished,16,212,0.85,0.27,1860.9,3,802500
2022,2,Furnished,18,236,0.77,0.34,1292.2,6,640000
2021,1,Semi-Furnished,19,179,0.9,0.23,1051.6,8,431500
2022,2,Furnished,15,219,0.61,0.05,1627.2,8,739500
2022,3,Furnished,23,201,0.39,0.45,1825.7,4,755500
2018,3,Semi-Furnished,18,229,0.93,0.53,1556.3,5,594500
2019,2,Semi-Furnished,20,138,0.83,0.1,1320.5,4,540000
2022,3,Unfurnished,16,189,0.22,0.51,1630.5,2,536500
2023,1,Semi-Furnished,3,246,0.95,0.47,1991.0,5,413500
2022,1,Unfurnished,17,209,0.96,0.34,1574.0,1,300000
2020,2,Unfurnished,3,93,0.48,0.36,1315.2,2,486000
2019,3,Furnished,20,217,0.21,0.39,1243.6,7,715500
2020,3,Unfurnished,2,143,0.64,0.31,1998.2,5,724500
2019,2,Unfurnished,21,210,0.93,0.51,1850.4,8,391500
2020,1,Semi-Furnished,17,151,0.3,0.28,1279.5,6,332000
2022,2,Semi-Furnished,20,100,0.67,0.33,1262.4,8,697500
2022,1,Unfurnished,19,173,0.79,0.02,1803.7,2,300000
2018,1,Unfurnished,4,226,0.31,0.11,1992.3,8,300000
2023,2,Furnished,8,158,0.61,0.54,1465.6,9,812000
2020,2,Unfurnished,21,99,0.27,0.07,1227.3,8,532500
2021,2,Furnished,22,137,0.65,0.54,1230.3,7,667000
2018,2,Semi-Furnished,23,121,0.55,0.38,1797.4,8,522000
2020,1,Semi-Furnished,14,173,0.41,0.55,1605.0,2,300000
2020,1,Unfurnished,8,217,0.88,0.49,1633.8,6,300000
2018,3,Semi-Furnished,13,230,0.51,0.52,1194.3,7,618000
2022,1,Furnished,20,167,0.76,0.31,1130.5,9,562500
2020,3,Unfurnished,23,219,0.83,0.5,1010.6,3,494000
2022,1,Unfurnished,1,88,0.34,0.28,1915.2,6,439000
2018,2,Unfurnished,24,158,0.3,0.03,1355.0,8,407500
2022,1,Semi-Furnished,17,236,0.21,0.39,1758.0,4,300000
2019,1,Semi-Furnished,12,161,0.44,0.44,1884.5,5,300000
2021,2,Unfurnished,20,227,0.85,0.06,1598.6,2,379000
2024,4,Unfurnished,15,82,0.82,0.49,1424.3,7,1071500
2020,1,Semi-Furnished,5,215,0.9,0.05,1038.7,8,462500
2023,2,Furnished,15,118,0.81,0.26,1337.1,6,819000
2021,3,Semi-Furnished,3,143,0.22,0.29,1321.6,9,890500
2024,2,Unfurnished,23,110,0.51,0.02,1566.3,3,563000
2022,3,Unfurnished,9,190,0.2,0.04,1764.1,9,779000
2020,1,Semi-Furnished,18,202,0.23,0.27,1711.1,9,330500
2022,4,Unfurnished,10,229,0.58,0.19,1869.9,9,950500
2019,2,Semi-Furnished,4,175,0.49,0.49,1046.8,6,530500
2018,2,Semi-Furnished,17,84,0.65,0.25,1605.0,9,638500
2020,3,Unfurnished,2,137,0.25,0.06,1189.0,7,769000
2024,2,Semi-Furnished,7,184,0.67,0.09,1972.5,8,774500
2024,2,Semi-Furnished,10,142,0.25,0.4,1409.1,8,713000
2019,3,Semi-Furnished,20,140,0.54,0.57,1623.9,8,718500
2019,2,Furnished,18,131,0.48,0.52,1351.6,3,539000
2020,1,Semi-Furnished,20,187,0.38,0.08,1220.2,6,319000
2022,3,Semi-Furnished,24,180,0.45,0.01,1687.9,7,803500
2023,1,Semi-Furnished,2,112,0.2,0.02,1939.3,4,525000
2024,3,Unfurnished,11,101,0.46,0.33,1059.5,4,800500
2024,4,Unfurnished,14,130,0.26,0.29,1825.2,7,1002500
2019,2,Furnished,22,90,0.94,0.01,1341.6,2,662500
2021,2,Furnished,23,206,0.26,0.03,1120.9,8,650500
2019,1,Semi-Furnished,15,129,0.96,0.6,1713.3,6,352000
2023,1,Semi-Furnished,4,96,0.59,0.58,1082.5,9,586000
2022,4,Unfurnished,18,123,0.61,0.08,1727.7,5,956000
2022,1,Semi-Furnished,5,212,0.83,0.1,1435.8,1,371000
2021,2,Furnished,11,118,0.76,0.54,1164.7,7,752000
2024,3,Furnished,18,216,0.39,0.3,1157.2,4,848000
2019,3,Unfurnished,8,102,0.22,0.57,1748.2,4,604500
2022,2,Unfurnished,17,243,0.82,0.31,1828.3,3,387500
2023,2,Semi-Furnished,2,110,0.3,0.35,1685.6,5,707500
2020,3,Semi-Furnished,22,163,0.68,0.13,1720.8,6,755500
2018,4,Unfurnished,13,102,0.95,0.53,1848.1,3,808500
2018,3,Semi-Furnished,23,137,0.64,0.5,1428.6,8,697000
2018,2,Unfurnished,20,243,0.43,0.2,1167.7,2,300000
2024,1,Semi-Furnished,4,167,0.34,0.37,1377.3,7,511500
2019,1,Semi-Furnished,4,221,0.22,0.2,1979.3,1,300000
2021,2,Furnished,3,104,0.7,0.28,1448.5,9,879000
2022,4,Furnished,24,125,0.65,0.51,1923.9,9,1143500
2020,3,Semi-Furnished,21,220,0.57,0.25,1702.7,5,654500
2023,4,Semi-Furnished,15,141,0.36,0.5,1737.7,2,935000
2020,2,Semi-Furnished,12,98,0.39,0.58,1190.2,6,574000
2023,3,Furnished,7,219,0.97,0.25,1368.7,5,955500
2024,3,Unfurnished,23,191,0.22,0.53,1732.4,4,596500
2019,3,Furnished,20,169,0.49,0.18,1655.6,2,723000
2018,2,Unfurnished,15,127,0.23,0.0,1862.6,5,421000
2019,2,Unfurnished,24,240,0.35,0.05,1210.0,8,357500
2024,3,Semi-Furnished,1,244,0.95,0.44,1748.3,2,800000
2021,2,Semi-Furnished,7,213,0.32,0.06,1039.4,7,605000
2021,4,Unfurnished,2,202,0.68,0.56,1299.8,3,822000
2024,2,Semi-Furnished,22,196,0.48,0.52,1630.5,6,564000
2023,3,Furnished,8,160,0.71,0.31,1980.0,4,954500
2022,3,Unfurnished,10,179,0.88,0.35,1989.4,6,746500
2022,3,Semi-Furnished,20,152,0.43,0.42,1439.1,2,688000
2023,2,Unfurnished,23,107,0.26,0.44,1764.7,5,488000
2021,4,Semi-Furnished,19,90,0.36,0.29,1600.5,2,937500
2021,3,Semi-Furnished,0,227,0.55,0.19,1709.1,8,849500
2021,2,Unfurnished,0,166,0.61,0.55,1731.9,9,582500
2019,3,Furnished,21,237,0.95,0.03,1547.3,8,838500
2021,2,Semi-Furnished,7,180,0.21,0.21,1813.9,1,484500
2020,2,Furnished,15,115,0.81,0.4,1584.5,5,691000
2018,2,Semi-Furnished,9,179,0.26,0.53,1100.6,4,402500
2021,3,Furnished,1,198,0.26,0.04,1989.2,4,887000
2023,2,Unfurnished,15,177,0.72,0.4,1303.9,7,550000
2018,3,Unfurnished,3,167,0.93,0.29,1964.2,4,647500
2019,2,Semi-Furnished,18,115,0.43,0.41,1292.6,1,426500
2023,2,Furnished,8,137,0.42,0.19,1853.2,3,746500
2018,4,Unfurnished,2,107,0.69,0.43,1689.6,8,947500
2023,3,Furnished,10,118,0.82,0.11,1356.9,7,1087500
2019,4,Unfurnished,7,145,0.9,0.47,1938.0,2,809500
2020,2,Unfurnished,6,84,0.4,0.45,1583.1,7,558500
2019,1,Unfurnished,0,220,0.79,0.57,1829.8,2,300000
2019,3,Semi-Furnished,7,88,0.45,0.1,1796.9,6,857000
2023,3,Furnished,24,182,0.64,0.43,1046.4,8,907500
2024,1,Unfurnished,23,136,0.35,0.19,1268.9,3,300000
2022,2,Semi-Furnished,16,106,0.32,0.17,1472.2,3,600500
2021,3,Unfurnished,10,182,0.95,0.24,1933.0,8,777000
2021,2,Semi-Furnished,6,161,0.64,0.17,1062.5,8,697500
2020,3,Unfurnished,8,241,0.2,0.15,1185.6,6,596500
2020,2,Semi-Furnished,13,164,0.83,0.46,1624.5,1,465000
2021,2,Semi-Furnished,4,144,0.75,0.42,1652.7,3,598000
2022,4,Semi-Furnished,17,166,0.46,0.07,1164.0,7,1044500
2021,2,Unfurnished,23,113,0.57,0.34,1948.3,2,408000
2024,2,Unfurnished,24,179,0.56,0.2,1176.8,9,587000
2022,3,Semi-Furnished,22,215,0.42,0.58,1182.3,9,730000
2020,2,Furnished,12,173,0.98,0.26,1635.5,2,626000
2018,2,Furnished,4,127,0.64,0.02,1421.5,6,734000
2023,3,Furnished,7,243,0.92,0.2,1026.0,2,874000
2024,2,Furnished,14,179,0.67,0.19,1920.5,1,689500
2024,2,Semi-Furnished,21,161,0.75,0.0,1075.1,9,769000
2020,2,Unfurnished,3,196,0.22,0.29,1156.3,5,427500
2020,2,Unfurnished,0,90,0.61,0.54,1897.1,1,470000
2019,3,Semi-Furnished,5,131,0.78,0.48,1275.3,7,820000
2024,3,Semi-Furnished,23,243,0.3,0.41,1817.7,3,650500
2019,1,Furnished,18,110,0.74,0.21,1170.7,6,492500
2019,3,Unfurnished,11,103,0.27,0.14,1048.2,4,658000
2023,4,Semi-Furnished,6,228,0.85,0.21,1234.7,3,1005500
2019,2,Semi-Furnished,12,175,0.98,0.07,1742.0,6,602500
2022,3,Semi-Furnished,6,237,0.7,0.06,1662.6,8,874000
2021,2,Unfurnished,8,200,0.26,0.34,1310.6,6,445000
2018,3,Semi-Furnished,0,151,0.67,0.49,1633.5,6,762500
2020,4,Unfurnished,20,176,0.79,0.06,1665.0,5,854000
2022,1,Furnished,23,194,0.95,0.2,1564.7,5,476000
2018,2,Furnished,12,143,0.24,0.07,1935.5,1,530500
2024,2,Unfurnished,18,206,0.82,0.19,1793.6,4,517500
2024,2,Unfurnished,20,196,0.31,0.5,1816.0,8,500000
2024,1,Semi-Furnished,0,118,0.83,0.02,1425.9,6,662000
2022,3,Semi-Furnished,24,208,0.91,0.39,1683.9,7,764500
2022,1,Unfurnished,19,176,0.89,0.04,1183.4,9,412000
2020,2,Furnished,20,249,0.72,0.26,1296.0,8,604000
2021,3,Semi-Furnished,18,156,0.6,0.28,1502.4,4,742000
2019,2,Unfurnished,17,84,0.9,0.24,1816.2,7,555000
2024,4,Semi-Furnished,22,219,0.62,0.38,1336.9,3,916000
2023,3,Unfurnished,4,236,0.35,0.58,1439.8,5,642000
2021,2,Unfurnished,2,82,0.95,0.16,1957.3,3,629000
2023,2,Semi-Furnished,1,140,0.5,0.37,1284.1,7,739500
2020,2,Unfurnished,21,243,0.7,0.21,1618.1,3,310500
2020,3,Semi-Furnished,9,190,0.36,0.6,1100.5,8,731000
2020,1,Furnished,5,154,0.29,0.57,1411.7,8,484500
2018,3,Furnished,18,209,0.64,0.06,1330.1,6,776000
2023,3,Unfurnished,24,108,0.64,0.58,1013.1,9,779000
2021,2,Unfurnished,16,120,0.5,0.44,1585.2,2,414000
2021,3,Semi-Furnished,18,108,0.45,0.6,1331.4,6,767000
2022,1,Semi-Furnished,12,179,0.5,0.46,1251.7,4,342000
2022,4,Furnished,16,143,0.84,0.08,1892.6,7,1209000
2024,1,Semi-Furnished,22,137,0.49,0.45,1229.6,1,334500
2022,3,Unfurnished,17,217,0.94,0.44,1405.5,4,626000
2020,2,Semi-Furnished,10,90,0.29,0.1,1949.4,4,614000
2021,3,Furnished,19,214,0.95,0.45,1080.3,6,828500
2023,2,Furnished,19,156,0.75,0.4,1938.4,6,734000
2020,1,Unfurnished,12,187,0.48,0.6,1390.2,6,300000
2018,2,Semi-Furnished,23,173,0.21,0.37,1790.9,4,357500
2022,2,Unfurnished,10,165,0.84,0.25,1355.9,5,551500
2020,3,Semi-Furnished,19,144,0.98,0.57,1415.6,8,793500
2020,3,Unfurnished,18,106,0.99,0.38,1437.8,3,666000
2018,2,Furnished,9,214,0.54,0.21,1946.8,6,583500
2019,2,Semi-Furnished,2,144,0.26,0.01,1550.3,1,520500
2021,1,Furnished,20,137,0.45,0.45,1216.9,6,450500
2023,2,Furnished,5,104,0.45,0.07,1611.5,9,935500
2024,2,Unfurnished,6,127,0.28,0.55,1889.5,8,628500
2019,2,Semi-Furnished,20,83,0.62,0.58,1214.4,5,522000
2022,1,Furnished,22,215,0.68,0.14,1337.6,7,482000
2020,2,Semi-Furnished,19,194,0.78,0.07,1571.5,5,538500
2018,4,Semi-Furnished,4,83,0.24,0.36,1987.3,3,927000
2018,2,Semi-Furnished,21,215,0.42,0.13,1465.4,9,482500
2021,2,Semi-Furnished,8,169,0.48,0.33,1584.3,7,619500
2019,3,Unfurnished,21,95,0.91,0.25,1135.3,8,743500
2024,3,Semi-Furnished,9,226,0.92,0.48,1758.2,7,869000
2021,2,Unfurnished,13,208,0.41,0.6,1219.9,7,408000
2020,3,Unfurnished,10,180,0.59,0.27,1327.9,8,708500
2021,3,Unfurnished,16,241,0.54,0.41,1709.6,8,621500
2023,1,Unfurnished,10,191,0.62,0.21,1712.7,6,359500
2018,2,Semi-Furnished,6,124,0.43,0.52,1318.8,4,491000
2018,2,Unfurnished,10,142,0.57,0.02,1850.3,5,462000
2022,2,Unfurnished,12,173,0.32,0.3,1794.7,6,494000
2022,2,Semi-Furnished,18,213,0.77,0.11,1615.8,9,657500
2024,3,Semi-Furnished,5,115,0.5,0.11,1178.7,5,973500
2020,1,Semi-Furnished,1,200,0.63,0.32,1904.9,9,450000
2023,2,Furnished,13,182,0.68,0.18,1527.4,9,824000
2019,2,Unfurnished,15,145,0.87,0.28,1376.4,8,515000
2021,2,Unfurnished,6,198,0.27,0.18,1927.3,6,482000
2024,3,Unfurnished,0,87,0.59,0.27,1971.6,1,831500
2020,2,Furnished,1,106,0.92,0.17,1717.2,5,815500
2022,4,Semi-Furnished,8,113,0.46,0.48,1791.4,3,1001000
2021,2,Unfurnished,24,107,0.56,0.33,1246.8,9,549500
2022,2,Unfurnished,22,238,0.27,0.1,1258.8,4,364000
2021,3,Semi-Furnished,17,224,0.8,0.01,1569.2,7,799500
2019,2,Unfurnished,20,187,0.27,0.01,1983.2,6,388500
2020,1,Semi-Furnished,19,202,0.7,0.25,1743.2,6,315500
2021,3,Furnished,17,88,0.5,0.19,1746.0,5,938500
2023,2,Semi-Furnished,17,136,0.47,0.16,1257.6,1,572000
2024,3,Furnished,9,124,0.67,0.37,1419.8,3,982500
2018,4,Unfurnished,7,213,0.65,0.49,1342.5,5,743500
2023,2,Semi-Furnished,20,221,0.52,0.04,1302.3,2,515000
2023,2,Furnished,7,238,0.42,0.07,1731.1,2,648500
2024,2,Semi-Furnished,1,90,0.61,0.22,1099.9,4,793000
2018,2,Semi-Furnished,17,148,0.41,0.26,1165.4,7,509000
2023,3,Semi-Furnished,10,174,0.28,0.24,1412.3,1,738000
2021,3,Furnished,10,209,0.84,0.38,1302.7,9,938000
2021,2,Unfurnished,18,182,0.76,0.05,1903.4,1,406500
2021,1,Unfurnished,10,96,0.27,0.3,1200.4,8,386000
2018,2,Unfurnished,9,189,0.33,0.49,1248.8,6,345500
2023,2,Furnished,7,115,0.28,0.56,1178.1,1,664000
2018,3,Furnished,14,210,0.83,0.34,1858.4,7,792000
2021,1,Unfurnished,7,122,0.82,0.08,1202.1,2,343000
2024,3,Unfurnished,18,172,0.53,0.44,1352.1,1,625000
2023,3,Furnished,0,112,0.86,0.48,1669.3,8,1112000
2023,3,Unfurnished,22,181,0.98,0.12,1077.6,2,679000
2022,2,Unfurnished,19,108,0.98,0.41,1816.6,9,633500
2022,3,Unfurnished,2,230,0.98,0.56,1706.3,6,714000
2019,3,Unfurnished,20,160,0.88,0.43,1261.0,1,513500
2020,3,Semi-Furnished,11,154,0.37,0.25,1391.8,8,810500
2022,2,Semi-Furnished,15,235,0.25,0.27,1620.1,7,534500
2018,2,Semi-Furnished,21,188,0.85,0.05,1946.5,1,404500
2022,3,Furnished,15,183,0.45,0.32,1629.3,8,919000
2019,1,Unfurnished,16,151,0.47,0.48,1253.0,2,300000
2023,2,Unfurnished,15,104,0.26,0.59,1482.5,8,568500
2019,4,Furnished,8,214,0.77,0.24,1449.6,9,1097000
2023,1,Semi-Furnished,21,200,0.54,0.26,1532.6,5,360000
2024,2,Unfurnished,18,154,0.36,0.03,1519.0,5,567500
2024,2,Unfurnished,0,241,0.72,0.47,1364.1,7,580500
2023,3,Unfurnished,24,229,0.98,0.43,1871.8,1,554500
2020,1,Semi-Furnished,17,146,0.6,0.24,1330.1,5,353000
2022,3,Unfurnished,5,183,0.69,0.43,1530.0,1,636500
2018,1,Semi-Furnished,5,198,0.33,0.37,1260.9,8,314500
2018,1,Unfurnished,11,149,0.33,0.46,1434.8,8,300000
2021,3,Furnished,2,136,0.57,0.19,1681.4,1,892500
2023,2,Unfurnished,10,232,0.88,0.39,1757.9,2,437500
2018,4,Semi-Furnished,5,145,0.93,0.38,1806.2,7,1006000
2020,1,Unfurnished,13,223,0.71,0.05,1736.8,7,300000
2023,2,Unfurnished,17,137,0.49,0.17,1466.8,9,631500
2020,1,Semi-Furnished,15,196,0.8,0.52,1037.5,3,300000
2018,2,Semi-Furnished,23,248,0.43,0.09,1524.5,2,306500
2018,4,Semi-Furnished,12,130,0.38,0.23,1055.2,8,973500
2021,3,Semi-Furnished,0,100,0.84,0.14,1966.4,7,993000
2018,1,Unfurnished,5,158,0.8,0.08,1378.0,3,300000
2023,2,Semi-Furnished,13,135,0.91,0.08,1503.7,3,689000
2024,3,Unfurnished,16,177,0.66,0.21,1129.5,7,797500
2023,2,Unfurnished,24,126,0.92,0.48,1995.7,5,524000
2023,1,Semi-Furnished,12,197,0.22,0.58,1492.2,9,408000
2021,4,Furnished,12,163,0.4,0.34,1298.3,7,1096000
2021,4,Semi-Furnished,8,187,0.84,0.38,1193.0,1,910000
2018,4,Furnished,5,110,0.54,0.47,1649.9,1,968500
2019,3,Furnished,5,94,0.39,0.4,1436.3,6,910000
2019,3,Unfurnished,24,141,0.84,0.51,1317.3,5,576500
2021,2,Furnished,4,149,0.86,0.53,1009.6,5,727500
2018,1,Semi-Furnished,24,210,0.57,0.38,1036.4,8,300000
2019,1,Furnished,20,245,0.57,0.32,1693.6,8,354000
2018,3,Semi-Furnished,13,166,0.82,0.23,1480.5,9,796500
2018,3,Semi-Furnished,13,137,0.82,0.28,1848.9,4,718000
2018,3,Semi-Furnished,3,124,0.89,0.21,1753.5,5,818500
2022,4,Unfurnished,1,87,0.72,0.26,1573.4,7,1101000
2023,3,Furnished,1,206,0.35,0.54,1561.0,3,853000
2018,4,Unfurnished,16,145,0.64,0.58,1745.3,6,772000
2022,2,Unfurnished,9,150,0.51,0.22,1741.2,3,503000
2021,3,Unfurnished,13,96,0.22,0.13,1334.5,4,711500
2019,2,Unfurnished,18,150,0.36,0.05,1105.3,8,478500
2023,2,Unfurnished,16,176,0.36,0.5,1771.8,4,435000
2024,4,Unfurnished,21,115,0.27,0.52,1223.1,4,889000
2019,3,Semi-Furnished,10,147,0.56,0.27,1791.3,7,788500
2023,1,Semi-Furnished,6,187,0.61,0.33,1618.1,3,404500
2024,1,Unfurnished,8,100,0.47,0.44,1358.0,3,381000
2019,3,Unfurnished,13,125,0.53,0.23,1852.3,1,578500
2023,3,Furnished,22,171,0.64,0.12,1691.2,7,955000
2019,4,Unfurnished,3,186,0.3,0.07,1545.1,4,828500
2019,2,Unfurnished,13,203,0.65,0.14,1300.9,7,446000
2024,1,Unfurnished,19,95,0.77,0.39,1986.3,2,348500
2019,2,Unfurnished,23,229,0.9,0.21,1838.5,5,344500
2019,1,Semi-Furnished,19,213,0.44,0.52,1136.6,7,300000
2024,1,Unfurnished,16,124,0.8,0.05,1806.2,9,528500
2021,4,Semi-Furnished,24,235,0.68,0.25,1120.2,4,845500
2018,2,Unfurnished,18,224,0.6,0.15,1247.7,6,343500
2020,2,Semi-Furnished,16,243,0.94,0.53,1957.5,3,411500
2022,1,Semi-Furnished,24,91,0.7,0.48,1869.9,2,347000
2020,2,Unfurnished,13,129,0.49,0.59,1606.0,2,366500
2020,3,Unfurnished,12,138,0.77,0.07,1699.1,5,728500
2023,3,Unfurnished,13,183,0.97,0.47,1089.6,3,688500
